Date,Open,High,Low,Close,Adj Close,Volume
2018-09-05,44.660000,45.419998,44.660000,45.380001,43.915051,10554900
2018-09-06,45.400002,46.000000,45.299999,45.770000,44.292458,11439400
2018-09-07,45.599998,45.820000,45.279999,45.720001,44.244076,10208100
2018-09-10,45.910000,46.310001,45.799999,46.060001,44.573093,8568900
2018-09-11,46.099998,46.150002,45.880001,46.020000,44.534389,9278300
2018-09-12,46.160000,46.299999,46.020000,46.240002,44.747288,13216400
2018-09-13,46.009998,46.119999,45.709999,45.830002,44.727764,8294800
2018-09-14,45.919998,46.029999,45.610001,45.990002,44.883919,7612900
2018-09-17,46.000000,46.330002,45.910000,46.320000,45.205982,8527300
2018-09-18,46.389999,46.529999,45.930000,45.930000,44.825363,9847400
2018-09-19,46.000000,46.110001,45.869999,45.959999,44.854637,7119000
2018-09-20,46.220001,46.680000,46.150002,46.639999,45.518284,9736700
2018-09-21,46.639999,46.689999,46.380001,46.580002,45.459728,19240300
2018-09-24,46.490002,46.529999,45.840000,46.070000,44.961994,10778900
2018-09-25,46.060001,46.180000,45.610001,45.680000,44.581371,7919100
2018-09-26,45.770000,46.070000,45.570000,45.849998,44.747284,10162600
2018-09-27,45.730000,46.180000,45.680000,46.009998,44.903435,10826900
2018-09-28,46.000000,46.189999,45.970001,46.189999,45.079105,9071900
2018-10-01,46.169998,46.349998,46.049999,46.230000,45.118145,9364700
2018-10-02,46.279999,46.560001,46.060001,46.509998,45.391411,7462700
2018-10-03,46.459999,46.549999,45.799999,45.869999,44.766804,10542300
2018-10-04,45.660000,45.900002,45.430000,45.849998,44.747284,9582300
2018-10-05,45.939999,46.160000,45.689999,45.880001,44.776566,8734100
2018-10-08,45.990002,46.580002,45.970001,46.480000,45.362137,9808100
2018-10-09,46.380001,46.549999,46.220001,46.389999,45.274300,10824500
2018-10-10,46.299999,46.700001,45.669998,45.680000,44.581371,13917000
2018-10-11,45.799999,45.970001,44.500000,44.639999,43.566387,17677900
2018-10-12,44.480000,44.880001,44.250000,44.680000,43.605427,12420100
2018-10-15,44.639999,45.270000,44.590000,44.910000,43.829895,11608500
2018-10-16,45.020000,45.599998,44.860001,45.490002,44.395947,10442500
2018-10-17,45.410000,45.990002,45.360001,45.860001,44.757046,11055800
2018-10-18,45.900002,46.080002,45.459999,45.610001,44.513058,12716900
2018-10-19,45.830002,46.490002,45.830002,46.330002,45.215744,13989200
2018-10-22,46.369999,46.459999,45.810001,45.970001,44.864403,14283600
2018-10-23,45.619999,46.459999,45.450001,46.360001,45.245018,17483900
2018-10-24,46.330002,47.389999,46.240002,46.730000,45.606117,21626000
2018-10-25,46.650002,46.740002,46.119999,46.509998,45.391411,14220200
2018-10-26,46.369999,46.480000,45.430000,45.919998,44.815598,21458000
2018-10-29,46.150002,46.560001,46.049999,46.459999,45.342613,20932200
2018-10-30,46.619999,47.740002,46.040001,47.630001,46.484474,20895400
2018-10-31,47.500000,48.080002,47.220001,47.880001,46.728462,25309400
2018-11-01,47.810001,48.150002,47.299999,47.740002,46.591827,16494500
2018-11-02,47.820000,48.000000,47.439999,48.000000,46.845573,17584900
2018-11-05,48.000000,48.779999,47.919998,48.689999,47.518978,16543500
2018-11-06,48.650002,49.130001,48.599998,49.110001,47.928883,14373400
2018-11-07,49.389999,49.549999,49.029999,49.369999,48.182625,12239700
2018-11-08,49.119999,49.369999,49.099998,49.330002,48.143589,9762800
2018-11-09,49.389999,49.889999,49.360001,49.680000,48.485172,12398100
2018-11-12,49.610001,50.240002,49.540001,49.869999,48.670601,13918300
2018-11-13,49.810001,50.000000,49.580002,49.860001,48.660843,13872900
2018-11-14,49.849998,49.939999,49.590000,49.759998,48.563248,12106800
2018-11-15,49.660000,49.750000,49.270000,49.740002,48.543732,12080100
2018-11-16,49.660000,50.250000,49.630001,50.169998,48.963387,13405800
2018-11-19,50.310001,50.759998,50.250000,50.509998,49.295208,13575800
2018-11-20,50.820000,50.840000,49.209999,49.380001,48.192387,16255300
2018-11-21,49.230000,49.439999,48.590000,48.730000,47.558018,13559200
2018-11-23,48.750000,49.230000,48.549999,49.020000,47.841049,4792500
2018-11-26,49.009998,49.230000,48.669998,48.869999,47.694653,9341900
2018-11-27,48.880001,49.410000,48.730000,49.369999,48.182625,9180700
2018-11-28,49.209999,49.720001,49.209999,49.709999,48.514450,11368700
2018-11-29,49.279999,49.430000,48.970001,48.980000,48.180004,11564300
2018-11-30,49.000000,50.490002,48.990002,50.400002,49.576809,25538200
2018-12-03,49.869999,49.959999,48.889999,49.689999,48.878407,14877200
2018-12-04,49.970001,50.509998,49.500000,49.580002,48.770203,19059900
2018-12-06,49.509998,49.630001,48.660000,49.380001,48.573471,17674900
2018-12-07,49.570000,49.680000,48.880001,49.090000,48.288204,15565700
2018-12-10,49.450001,49.450001,48.470001,49.240002,48.435760,12331100
2018-12-11,49.590000,50.009998,49.180000,49.540001,48.730858,18083600
2018-12-12,49.950001,50.020000,49.189999,49.220001,48.416084,12316900
2018-12-13,48.720001,49.610001,48.570000,49.470001,48.662003,13766200
2018-12-14,49.230000,49.520000,49.020000,49.340000,48.534126,13835900
2018-12-17,49.340000,49.529999,48.020000,48.330002,47.540623,18482700
2018-12-18,48.610001,48.830002,47.849998,48.320000,47.530785,14765700
2018-12-19,48.240002,48.759998,47.619999,47.900002,47.117645,17903800
2018-12-20,47.810001,48.130001,47.099998,47.540001,46.763523,21130000
2018-12-21,47.259998,48.750000,47.230000,47.570000,46.793034,32477700
2018-12-24,47.619999,47.869999,45.830002,45.959999,45.209328,10733700
2018-12-26,45.880001,46.959999,45.660000,46.939999,46.173321,14342600
2018-12-27,46.740002,47.549999,46.029999,47.529999,46.753685,16966500
2018-12-28,47.889999,48.009998,47.029999,47.200001,46.429077,13218200
2018-12-31,47.490002,47.540001,46.959999,47.349998,46.576626,10576300
2019-01-02,46.939999,47.220001,46.560001,46.930000,46.163486,11603700
2019-01-03,46.820000,47.369999,46.529999,46.639999,45.878220,14714400
2019-01-04,46.750000,47.570000,46.639999,47.570000,46.793034,13013700
2019-01-07,47.570000,47.750000,46.900002,46.950001,46.183163,13135500
2019-01-08,47.250000,47.570000,47.040001,47.480000,46.704506,15420700
2019-01-09,47.080002,47.279999,46.430000,46.570000,45.809364,18032500
2019-01-10,46.660000,47.090000,46.340000,47.070000,46.301201,15976600
2019-01-11,47.290001,47.360001,46.970001,47.340000,46.566792,11088600
2019-01-14,47.250000,47.400002,46.990002,47.150002,46.379894,11514300
2019-01-15,46.889999,47.599998,46.810001,47.570000,46.793034,11342900
2019-01-16,47.400002,47.470001,46.860001,46.919998,46.153648,16907800
2019-01-17,46.919998,47.139999,46.880001,47.060001,46.291363,12044600
2019-01-18,47.250000,47.689999,47.119999,47.610001,46.832382,12760700
2019-01-22,47.700001,47.790001,47.209999,47.720001,46.940582,11700400
2019-01-23,47.820000,48.290001,47.650002,48.270000,47.481602,12058300
2019-01-24,48.110001,48.110001,47.380001,47.689999,46.911072,10272000
2019-01-25,47.880001,48.029999,47.240002,47.369999,46.596298,12066500
2019-01-28,47.220001,47.299999,46.939999,47.169998,46.399563,9966900
2019-01-29,47.200001,47.630001,47.130001,47.400002,46.625813,11998600
2019-01-30,47.250000,47.889999,47.189999,47.860001,47.078297,12952500
2019-01-31,47.849998,48.779999,47.470001,48.130001,47.343887,32181500
2019-02-01,48.480000,48.779999,48.400002,48.700001,47.904575,19130100
2019-02-04,48.700001,49.450001,48.540001,49.250000,48.445595,15105700
2019-02-05,49.330002,49.470001,49.099998,49.259998,48.455429,12651900
2019-02-06,49.209999,49.360001,49.020000,49.259998,48.455429,8689100
2019-02-07,49.169998,49.459999,49.000000,49.419998,48.612812,10047800
2019-02-08,49.369999,49.500000,49.110001,49.500000,48.691509,9813300
2019-02-11,49.570000,49.880001,49.480000,49.610001,48.799717,9369300
2019-02-12,49.689999,49.799999,49.459999,49.660000,48.848896,10983300
2019-02-13,49.610001,49.939999,49.560001,49.790001,48.976776,12748800
2019-02-14,46.700001,46.959999,45.500000,45.590000,44.845371,58905400
2019-02-15,45.900002,46.259998,45.200001,45.240002,44.501091,35701600
2019-02-19,45.320000,45.590000,44.770000,44.830002,44.097790,25511300
2019-02-20,44.910000,45.240002,44.799999,45.099998,44.363373,27464000
2019-02-21,45.000000,45.910000,44.959999,45.860001,45.110962,23121200
2019-02-22,45.759998,45.950001,45.200001,45.279999,44.540436,24728400
2019-02-25,45.439999,45.570000,44.840000,44.939999,44.205986,23774400
2019-02-26,45.099998,45.139999,44.660000,44.689999,43.960072,20463200
2019-02-27,44.599998,45.020000,44.419998,44.939999,44.205986,17827500
2019-02-28,45.119999,45.610001,45.110001,45.340000,44.599457,22533900
2019-03-01,45.470001,45.639999,45.200001,45.380001,44.638805,16291600
2019-03-04,45.529999,45.669998,45.299999,45.650002,44.904396,15973800
2019-03-05,45.650002,45.700001,45.400002,45.599998,44.855209,13062300
2019-03-06,45.669998,45.790001,45.439999,45.450001,44.707661,14232100
2019-03-07,45.490002,45.529999,45.130001,45.279999,44.540436,12084000
2019-03-08,45.150002,45.250000,44.610001,44.840000,44.107620,15579100
2019-03-11,45.139999,46.240002,45.099998,46.180000,45.425735,22126900
2019-03-12,45.950001,46.250000,45.900002,46.049999,45.297859,19348500
2019-03-13,46.130001,46.340000,45.910000,46.220001,45.465084,16222500
2019-03-14,45.840000,46.110001,45.630001,45.700001,45.346012,18504100
2019-03-15,45.720001,45.900002,45.139999,45.299999,44.949108,47254500
2019-03-18,45.430000,45.680000,45.360001,45.410000,45.058258,24006400
2019-03-19,45.549999,45.689999,45.340000,45.560001,45.207096,14987000
2019-03-20,45.400002,45.900002,45.180000,45.529999,45.177326,13376100
2019-03-21,45.529999,45.759998,45.439999,45.509998,45.157482,20043000
2019-03-22,45.459999,46.110001,45.459999,45.930000,45.574230,19055900
2019-03-25,45.860001,46.200001,45.790001,46.029999,45.673454,11668200
2019-03-26,46.169998,46.790001,46.169998,46.639999,46.278728,11434900
